id;video_id;scenario_num;video_name;video_name;video_name;video_name;video_name;video_length;min_dur;max_dur;criticality;events;events_id;events_name;events_description;description
0;video_0;0;Scenario_0_MDV_driver_encounters_MDV_target_car;0;0;0;0;36000;35000;37000;0;[];;;[];Baseline traffic situation of driving with ego vehicle as AV
1;video_1;1;Scenario_1_MDV_driver_encounters_MDV_target_car;0;0;0;0;33000;32000;34000;1;[7050,9850,15166,15166,15166,27000];[1,2,2,1,3,3];[1. Represents the period when the target car has its indicator on,2. The target car changes its lane,The target car overtakes the ego car];[target_car_turns_on_indicator-start,target_car_lanechange-start,target_car_lanechange-finish,target_car_turns_on_indicator-finish,target_car_overtakes_ego_car-start,target_car_overtakes_ego_car-finish];The ego car is overtaken by the target car from the inside
2;video_2;2;Scenario_2_MDV_driver_encounters_MDV_target_car;0;0;0;0;34000;33000;35000;1;[1000,16200,16200,35000];[1,1,2,2];[1. The target car approaches the ego car,2. The target car tailgates the ego car];[target_car_approaching-start,target_car_approaching-finish,target_car_maintains_short_gap-start,target_car_maintains_short_gap-finish];The target car tailgates the ego car
3;video_3;3;Scenario_3_MDV_driver_encounters_MDV_target_car;0;0;0;0;36000;35000;37000;2;[11500,12816,13716,15716];[1,2,1,2];[1. A red car in front of the target car brakes,2. The target car in front of the ego car brakes];[red_car_brakes-start,target_car_brakes-start,red_car_brakes-finish,target_car_brakes-finish];The target car brakes abruptly to avoid collision
4;video_4;4;Scenario_4_MDV_driver_encounters_MDV_target_car;0;0;0;0;38000;37000;39000;2;[14333,16400];[1,1];[1. The target car brakes];[target_car_brakes-start,target_car_brakes-finish];The target car brakes abruptly
5;video_5;5;Scenario_5_MDV_driver_encounters_MDV_target_car;0;0;0;0;35000;34000;36000;0;[1000,9083,9083,17000];[1,2,2,1];[1. The target car is waiting at the intersection,2 Represents the moment when the traffic lights turn green];[target_car_standstill-start,traffic_light_change_green_start,traffic_light_change_green_finish,target_car_standstill-finish];The target car starts late when traffic lights turn green
6;video_6;6;Scenario_6_MDV_driver_encounters_MDV_target_car;0;0;0;1;35000;34000;36000;0;[1000,9083,9083,17000];[1,2,2,1];[1. The target car is waiting at the intersection,2 Represents the moment when the traffic lights turn green];[target_car_standstill-start,traffic_light_in_green-start,target_car_standstill-finish];The target car starts late when traffic lights turn green with a pedestrian
7;video_7;7;Scenario_7_MDV_driver_encounters_MDV_target_car;0;0;0;0;25000;24000;26000;2;[7050,10000,13633,15000];[1,2,1,2];[1. Represents the period when the target car has its indicators on,2. The target car cuts off the ego car from the right lane.];[target_car_turns_on_indicator-start,target_car_cuts_off-start,target_car_turns_on_indicator-end,target_car_cuts_off-start];The target car cuts off from the right lane
8;video_8;8;Scenario_8_MDV_driver_encounters_MDV_target_car;0;0;0;0;38000;37000;39000;1;[9000,30500];[1,1];[1. The target car is zigzagging in the traffic flow];[change_lane-start,change_lane-finish];The target car is zigzagging
9;video_9;9;Scenario_9_MDV_driver_encounters_MDV_target_car;0;0;0;0;24000;23000;25000;0;[10616,12350];[1,1];[1. Represents the period when the target car has its headlights blinking];[targetcarheadlightblinking-start,targetcarheadlightblinking-finish];The target car flashes lights to the ego car
